comment,label
ทำไมไม่ปฎิเสธเขาก่อนหน้านี้ ถ้าไม่ชอบคุณแขกก็อย่าไปติดต่อแต่แรก เจตนาร้ายชัดๆ ให้เขาเสียเวลามาทำไม คุณป้าไร้มารยาท นัดเขาไว้เป็นเดือน ปากพูดดี แต่การกระทำเชือดกันนิ่มๆ เลยนะป้า  ,0
ทำไมแบบนั้นอะคะ ไม่ใช่ต้องให้เกียรติกันหรอคะ ,0
ใช้สติปัญญาแยกแยะ ไม่งมงาย ,0
ยิ้มๆหัวเราะแต่ใจจริงแค้นอกแทบระเบิด55555,0
หน้าด้านไปขอเขาถ่าย,1
ไม่ได้ทำให้สังคมและประเทศชาติเดือดร้อน คิดดีทำดีได้ดีคะ,0
ต้องมาเจอผู้หญิง ความคิด ปาก ใจ การกระทําที่สกปรก แย่จริงๆ,1
ต้องนิมนต์พระ มาสวดไล่สิ่งไม่ดีออกจากร้านด้วยนะคะ,0
อีผีร้ายมันก็แสดงอาการเหมือนอยู่ในนรกทันที,1
ใครเอา2ตัวนี้ทำเมียซวยสุด,1
555 อีขี้ข้า,1
สมชื่อจริงๆๆ น่าสมเพส,1
เค้าตั้งใจสร้างความแตกแยกเห็นๆ แบ่งฝักแบ่งฝ่าย,0
ขายของต้องรู้ตัวอย่าเลือกข้าง ให้มันรู้จักกันไปเลย งานนี้,0
ป้าแกคงรังเกียจแหละ....ดูออก!,0
ดูกิริยามารยาทของบุคคล 2คนที่มาสัมภาษณ์ร้านนิตยาดูมีการศึกษาแต่ขาดมารยาทแสดงอากัปกิริยาหน้าสำรอกให้สมกับมีการศึกษา,0
สติแตก ,0
หน้าแหก 555+,0
คงเดือดสุด ไม่เคยโดนกระทำใง เคยแต่กระทำคนอื่น,0
พร่ำเพ้อประชาธิปไตย พวกล้าหลัง ,1
ไล่ออกจากร้านสมนำหน้า,1
ประจานตัวเองหรือไง,0
น่าสมเพศจริงๆครับผมไม่เคยเห็นสื่อช่องไหนๆที่เขามีกิริยาท่าทางแบบนี้เหมือนคุณเลย,1
แหกจริงๆๆ สมน้ำหน้า,1
คนจิตใจต่ำต่อให้ทำตัวสูงส่งแค่ไหนมันก้อยังดูต่ำอยู่ดีนั่นแหละ,1
คนป่วยมาทำรายการทีวีก็ได้หรอ?,1
เค้าพูดตอนไหน ว่า ไม่ต้อนรับคนเสื้อแดง,0
เห็นผี หน้าแหก,1
แสดงว่า รู้ตัวดี ,0
มันบ้า ,1
พูดออกมาได้.ปชต.,0
คนสมัยนี้เลอะเทอะไม่รู้อันไหนดีไม่ดีอายุมากซะป่าว,0
แสดงออกน่าเกลียดมาก,1
ดีนะยังพูดจาดี แต่ปากก็ชัดเจน ดีล่ะ กูก็ไม่กิน อยู่ได้ไม่ได้แล้วแต่,0
ใครเอาหมามุ่ยโรยเป้ากางเกงในหรอถึงได้เสียงแป๋นสั่นลลิกเลย,1
น่าไม่อายมากๆ ตลกหกฉาก,1
เราก็ไม่เคยดู จำชื่อได้ว่าถ่ายรูปเปลือยหน้าอกเมื่อนานมาแล้ว ซึ่งขี้ริ้วด้วยความหย่อนยาน  รูปออกมามืดตึ๊ดตื๋อ แกผิวคล้ำน่ะค่ะ,1
เมื่อไรคนไทยจะแยกแยะได้นะครับความเห็นต่างทางความคิดก็ต้องเคารพซึ่งกันและกัน ยิ่งเป็นสื่อยิ่งต้องระวังให้มากกว่าคนอื่นๆเพราะเรามีช่องทางที่อาจทำให้เขาเสียหาย,0
กลบเกลื่อนเสียหน้า แต่เก็บไม่อยู่ ไม่ได้อยู่เสื้อแดงไม่เป็นประชาธิปไตยหรือไง ,0
คำพูด ส่อ ภาษา กิริยา ส่อ สกุล,0
ท่าทางเหมือนถูกน้ำร้อนทั้งตระกูล,0
ผู้หญิงคนนี้ นิสัยก็โสเภณีอยู่แล้ว จากกิริยาท่าทาง การพูดจา มันบ่งบอกชัดเจนอยู่แล้ว,1
ไม่เป็นมืออาชีพ ไม่ศึกษาดูก่อนว่าเขาไม่ชอบเสื้อแดง มีเวลาตั้ง เดือน,0
พูดเองเออเอง สติแตก,0
ตำทรามได้ใจ,1
ใครได้อีนี่เป็นเมีย ซวยไปร้อยชาติ,1
ต้องการหาประเด็นหรือเปล่า,0
ปากกระโถน,0
พูดเองเอ่อเองอยู่คนเดียวโดยทีป้าไม่รู้เรีองถ้าสามกีบฉลาคนิดหนึ่งประเทศน่าจะเจริญมากกว่านี้,1
ไม่เคยรู้จักยายคนนี้มาก่อนพอดูคริบนี้แล้วยายคนนี้สตอมากมากเลย,1
ดูอาการเหมือนคนบ้าดีนะถ้าเป็นตรูบอกที่ร้านไม่ให้สัตว์ประหลาดเข้าร้าน,0
น้องเข้สองตัว,0
ตอแหล น่าตบ,1
ทำให้ถูกใจประชาชนคนอย่างผมมากต่อไปนี้จะไม่กินแล้วน้ำพริกคนเสื้อเหลือง,0
ไม่เข้าใจ.. เข้าไปหาเขาแล้วแขวะด่าเขาขึ้นมาดื้อๆ..,0
รักสถาบันฯและล้มเจ้าอยากเป็นเจ้าของประเทศไทยอย่างโทนี่เสื้อแดงรักแบบใหนเจ้าของร้านไม่ให้เข้า5555,0
เพ้อเจ้ออ้างแต่ประชาธิปไตยกล่าวอ้างเก็บอาการไม่อยู่พวกเสียดจังไรดีแล้วที่ป้านิดไม่ให้ค่าบุคคลเหล่านี้ถูกแล้ว,0
นิสัยสันดานมารยาทพวกควายแดงอันนี้มันเรียกตัวเองนะเหมือนกันหมดก้าวร้าวยั่วยุปลุกปั่นกันเองให้เกิดความแตกแยกสื่อส้นตีนผ่านการอบรมที่ไหนมา,1
ปลุกไม่ขึ้นแล้ว,0
คนเลว,1
เราก็ไม่เคยดูรายการมัน,0
นึกว่ามาจากศรีธัญญา,0
มึงไม่สงสัยบ้างเหรอเวลามึงไปแบนร้านไหนเขากับขายดีทุกร้านเพราะคนที่เขารักสถาบันมันมีเยอะกว่าควายแดงที่มึงเป็นอยู่ไงจำใส่สมองไว้,1
พูดเองเออเอง,0
ไม่มีมารยาท,0
ไม่เก็บอาการเลย หน้าแหก,0
เลวสุดๆ,1
เป็นร้านเราเอาไม้กวาดมาไล่เลยอีเลว,1
หน้าตาออกจะสวยทำไมไปร้องแร่แห่กระเชิงกลางตลาดแบบนั้นละคะ ไม่งามเลยค่ะ!!!,0
คนบ้า,1
เหมือนอีบ้า,1
คนบ้าเข้าร้าน,1
บ้า,1
ขยะไร้ค่า,1
ไม่แปลกใจ ในม็อบมีคนถ่อยๆ เยอะ,1
รู้ทั้งรู้ว่าเป็นที่อโคจรก็ยังเข้าไปร่วมกลุ่ม,0
ห้องเดียวกันเตียงเดียวกันแล้วยอมร่วมห้องร่วมเตียง มันก็แปลกๆอยู่นะ,1
ไม่มีสัจจะในหมู่ 3 กีบ เชื่อพ่อแม่ไม่มีทางเสียใจ แต่เชื่อพวก 3 กีบ รับรองได้ท้องไม่มีพ่อ,1
น่าสงสารสามกีบจัง ,1
พาตัวไปอยู่กับขยะ มรึงก็ขยะพอๆกะมัน,1
น้องก็ไม่ควรยอมตั้งแต่รู้ว่าต้องนอนเตียงเดียวกันในห้อง2ต่อ2ละครับ,0
3 กีบเสียอนาคตทุกคน,1
หล่อนชอบมิใช่หรือ ชอบชุมนุม ชอบมั่วสุม ,1
อ้าวแล้วเรียกร้องความเท่าเทียมนิ ไม่ใช่หรือ จะร้องทำไม งง สับสนตัวเองละเธอ,0
คนที่ไม่รักเครารพคนที่ควรเครารพก็คือคนไม่รู้จักผิดชอบชั่วดี,0
จากอายุของน้องเวลานั้นน้องควรจะอยู่ที่ไหนครับ อย่าห้าวเป้ง,0
เขาไม่ได้มีอาวุธ เขาไม่ได้ฆ่าใครตายสักหน่อย ,0
มันไม่ใช่การคุกคามทางเพศ  มันคือการผสมพันธุ์แบบสามกีบ ฮ่าาาา,1
พวกเดียวกันทั้งนั้นอุดมการเดียวกัน สามกีบเหมือนกัน,1
เรื่องคนอื่นพูดด่าได้ด่าดีแต่เรื่องตัวเองกลับพูดบอกใครไม่ได้ ก็สมควรแล้วละครับ ,0
มันก็ต้องแบบนั้นอยู่แล้วเพราะมีแต่คนถ่อยๆทั้งนั้นคน3นิ้วอ่ะคราป,1
ชอบอย่างนี้จัดให้เลยในม็อบมันมีอยู่แล้วยายเป้ายังกล้าแก้ผ้าเลย,0
เพิ่งจะรู้รึไง มันมีมานานแล้ว แต่ไม่มีใครออกมาพูด เพราะบางคนสมัครใจ บางคนกลัวตาย,0
ถ้ายังไม่เลิกไปยุ่งเกี่ยวกับไอ้พวกสามกีบสักวันต้องเจอ แล้วอย่าไปโทษใครนะ,1
พวกสามกีบมันไปผสมพันธุ์,1
เวลาคุกคามคนอื่นไม่รู้สึก พอถูกคุกคามร้องแลกแหกกะเฌอ,0
สามกีบทุกคนคงนึกว่าแนวร่วมชอบเซ็กเสรีทุกคนเพราะเห็นเรียกร้องกันจัง ,1
ต้นแบบประชาธิปไตยในกะลา ก็แบบนี้เวลาให้เคารพสิทธิ์คนอืนทำไม่ได้หรอก ,0
มันเป็นการแสดงประชาธิปไตยของสามกีบต่างหาก,1
ม๊อบฟรีเซก,1
ก็สมควรแล้ว และมันสมควรที่จะไปในที่แบบนั้น ไหมล่ะไม่เห็นใจครับ สถานที่เป็นที่ อโคจร ใคร บังคับให้ไปล่ะ,1
ดูพฤติกรรมที่แสดงกันอยู่โดยรวมแล้ว..ไม่น่าแปลก...เหมือนไม่น่าจะรู้สึกว่าถูกคุกคาม,1
พวกมึงยังไม่เคารพความคิดคนอื่นเลย3กีบแล้วจะมาเรียกร้องเอาอะไร,1
ก็ยังกล้าที่จะนอนห้องเดียวกัน,0
ทำตัวประเสริฐ อุดมการณ์ยิ่งใหญ่ แต่ไม่เคยยอมรับว่าในกลุ่มพวกเดียวกันเองนี่ก็มีพวกแอบแฝงมาเหมือนกัน,0
ต้องเสียสละให้พี่ๆแนวร่วมประชาธิปไตยนะอย่าคิดมากเลย,1
พกถุงหรือกินยาคุมทุกเวลาไปทำกิจกรรม,0
ตัวเองยอมร่วมห้องเอง,0
เรียกร้องปชต ถุงยางเกลื่อนเลยโควิทไม่กลัว,1
ปกติแล้ว แก้ผ้า ขี้เยี่ยวกลางถนน ม็อบก็มองเป็นเสรีภาพ ,1
นี้คือสันติวิธีของพวก3กีบ ชมชื่นผู้หญิง,1
อายุน้อยร้อยท้อง,1
กลุ่มนี้น่าจะหมกมุ่นในทางเลวทุกอย่างเสียมากกว่าคิดว่านะดูจากการกระทำและความคิด,1
ฟ้องเขาไม่ได้หรอกเพราะสมัครใจร่วมห้อง,0
สมน้ำหน้า,1
สมสู่พวกเดียวกัน ไม่จัดว่า ถูกคุกคาม กฎหมายข้ออื่นไม่รู้ รู้แต่คุกคามทางเพศซินะ,1
เสียตัวไม่เสียใจ พวกเดียวกันมันดี,1
เห็นชอบเรื่องแบบนี้กันนี่เรียกร้องกันทุกงาน,0
มีสามกีบที่รักนวลสงวนตัวด้วยเหรอ ความรู้ใหม่เลยนะเนี่ย,1
3 กีบ เขาเป็นอย่างนี้มาตลอด แล้วจะมาโวยวาย สาสสส,1
ถึงพวกเธออกมาไร่รัฐบาลถึงชนะพวกหนูๆก็ไม่ได้เป็นรัฐมนตรีหรอกหนู,0
อยู่ในดงอันธพาล เชื่อใจได้เหรอ เปลี่ยนความคิดเถอะ,0
โชว์ร่วมเพทกลางถนน แก้ผ้า โชว์ของลับก็พากันทำมาแล้วนี่จะเรียกร้องเอาอะไร?,1
ก็เลือกข้างแล้ว ต้องทำใจนะ,0
ขนาดตั้งหมู่บ้านข้างทำเนียบ ยังพบถุงยางเกลื่อนเลย,1
555 ขำเว้ยยย,0
ดีนะไม่โดนยาสลบ ถ้าไม่อย่างนั้น คลิปลับเต็มโซเชียล,0
ถือว่ามันเป็นประชาธิปไตยแบบสามกีบแล้วกันน่ะน้องยอมๆหน่อย,1
คิดจะแฉทำไมไม่กล้าพูดความจริงเอ่ยชื่ิอไปเลยให้คนทั้งประเทศเขารู้จักมันจะได้ไม่มีที่ยืนในสังคม,0
นี่เหรอผู้ที่จะมาปฏิรูปประเทศ,0
ถ้าโดน เชื่อเถอะ หาคนมาช่วยยาก แม้กระทั่งผู้สนับสนุนม๊อบ,0
เด็กเมื่อวานซืน,0
ประชาธิปไตยนะน้อง..สามกีบจะเอากับใครก็ได้เสรีภาพมิใช่เหรอ5555 อย่าโวย,1
ไม่รู้ว่าจะสมน้ำน่าดีหรือสมเพสดีคูณเข้าไปยุ่งกับพวกชั่วๆเองโทษใครไม่ได้,1
จะเป็นเหยื่อได้ไง ในเมื่อนอนเตียงเดียวกัน คนลูบคงมั่นใจแล้วว่ายอมเพราะนอนเตียงเดียวกันมันต้องยอม,1
ศีลเสมอกัน ทำเป็นรับไม่ได้,1
ว่างมากเหรอ ,0
ถ้าเป็นอีรุ้งมันคงปล้ำผู้ชายไปแล้วมัวแต่ลูบแล้วเมื่อไหร่จะใด้จิ้มไอ้ห่านั่นก็หื่นเกิน,1
คุกคามคนอื่นไม่เป็นไร พอโดนคุกคามมั่งทำร้องโวยวาย,1
กรรมแท้ๆ,0
สังคมยุคใหม่ฟอนเฟะหนักมาก,1
แล้วทำไมยอมนอนร่วมห้องเดียวกันสองต่อสอง. แบบนี้เขาคิดว่ายอมน่ะสิจ้ะ ,1
คนดีๆที่ไหนเขาจะไปกัน,0
ถ้าประเทศมันวุ่นวายนัก ก็ลาออกไปซะ ,0
เป็นการแสดงเชิงสัญลักษณ์เท่านั้น เขาไม่ได้ทำอะไรรุนแรงสักหน่อย น้องก็กลัวไปได้,0
มึงก็อยากด้วยป่าว มีที่ไหนให้ผู้ชายไปนอนด้วยเตียงเดียวกัน,1
เลวทุกตารางนิ้วจริงๆ,1
ออกมาชุมนุมกับกลุ่มขยะสังคมผสมพันธุ์กันไปมันส์ดีๆสะใจว่ะๆ,1
จะเข็ดมั้ยเนี่ยคบกับพวกนี้ อุดมการณ์เหมือนกันกลัวไร,0
ก็พวกเองชอบไม่ใช้หรือ,0
Sex คือประชาธิปไตย,0
จัญไร,1
ใครสงสารมันบ้าง555555,0
มีสามกีบไม่สึกหรอก,1
ใกล้นองเลือดแล้วมั้ง,0
ม็อบนี้เรียกร้องฟรีเซ็กส์ด้วยนะ,1
แกนนำหลักมีไม่กีคน,0
ความเงี่ยนไม่เคยปราณีใครเมื่ออยากก้าวเข้าหาก็ต้องรับดั่งคำที่ว่าทีทับไม่ร้องทีท้องจะให้รับใครจะไปรับละจ๊ะเพราะสนุกร่วมกัน,1
อ่อนต่อโลกจึงถูกชักจูงให้เชื่อแม้กระทั่งการเมือง เผลอๆอาจเสียของรักเสียอนาคตซะก่อนจะได้เปลี่ยนระบอบการปกครอง,1
ก็ชอบแบบนี้ไม่ใช่หรือ,0
ที่น้องพูดมาดูมันจะแย้งกับความเป็นจริงอยูนะถ้าคนไม่คุ้นเคยไม่สนิทกันก็คงไม่นอนห้องเดียวกันเป็นแน่ มันน่าคิดอยู่นะ,0
ซื่อบื้อ,0
สมน้ำหน้า ,1
สตอเบอร์รี่ครับ,1
สมน้ำหน้า,1
หน้าไม่อายไปใส่ร้ายผู้บริสุทธิ์,1
เสร่อมาก สมองนางความรีบงับโชว์ความเสร่อ,1
คนแบบนี้ต้องฟ้องนะหมิ่นคนอื่นจนชินจัดให้มันหนักๆเลย,0
หน้าแหก,0
เดียวดายไม่มีพ่อแม่สั่งสอน ,0
จะแซะเค้าทั้งทีก็หาข้อมงข้อมูลหน่อยเน้อ หน้าแหกลบโพสอย่างไว ,0
น่าเสียดายจริงๆ  ปากพาเสียคน บาปมากด้วย,1
บิดเบือน มั่วไปเรื่อย ,1
พูดมาได้ไม่รู้จักศึกษาข้อมูลให้ดีก่อนมีแต่เลียเอาใจนายหญิงคนใหม่หวังตำแหน่งทางการเมืองทุเรศสิ้นดี,1
ตาบอด ใจก็ยังบอดเหมือนเดิมนะ,1
อยู่สบายๆไม่ชอบ เป็นลูกหัดสงสารพ่อมั่งเหอะ ให้แกไปสบายๆ ,0
ข้อมูลบิดเบือนแบบนี้ หมิ่นประมาทชัดเจน,0
นิสัยเลวเหมือนกันนะโตแล้วมีสมองแล้วไม่มีความคิดหรือไงว่าอะไรเป็นอะไรเธอรู้ดีนิ,1
ฟ้องเลยค่ะ,0
เอาเวลาไปทำบุญพ่อตัวเองมากๆจะดีกว่านะ  อย่าทำแต่บาป,1
ความคิดของหมาหางด้วนก็เป็นแบบนี้แหละคิดว่าคนอื่นจะทำเหมือนตนเอง,1
อิจฉาริษยาจนกล้าเอาเรื่องโกหกมาพูด มีอะไรมาเทียบได้บ้างน่าสมเพชจริงๆ,1
หน้าแหกเลย,0
ถึงอยู่ในร่างเทพจิตใจก็ยังเป็นมารอยู่ดี พรรคและนักการเมือง ทุกระดับยังคงเป็นปัญหาใหญ่ประเทศนี้,0
ลูกใครก็ช่างนิสัยไม่ดี ก็อย่าได้ไปชื่นชม ดูคนอื่นไม่ก้มหน้าดูตัวเอง ความสามารถไม่ได้ครึ่งเขาแล้วยังยุ่งเขาอีก,0
พวกนี้มันไม่อายจริงๆ ความรู้น้อยจริงๆแถมไม่ขนขวาย,1
ผมไม่ได้ด่าใครนะ แต่ผมรู้สึกว่าคนที่มีอคตินี่มันจะโง่เขลา,0
เรียนกฏหมายมาแท้ๆเเต่พูดพล่อยๆไร้ข้อเท็จจริง,0
เดียเอาเงินจากที่ไหนมาทำศัลยกรรมน้า เออก่อนทำหน้าได้ตังตั้งเยอะนี่,0
ยังไงก็เห็นใจเพื่อนมนุษย์ด้วยกัน เราก็อยู่กันอย่างมีความสุขครับ,0
ข้าชั่ว เอ็งก็เลว ถูกต้องค่าาาา,0
ไงตอนที่พ่อตายพูดว่าไงคะ ไปมาทำไมคะลืมเหรอคะ ลืมแม้คำพูดตัวเอง น่าอายคะ อย่าลืมนะคะถึงใครไม่รู้ตัวเองย่อมรู้ดี ถ้าจำไม่ได้ก็ไปหาข่าวเก่าๆมาอ่านนะคะ,1
อยู่เฉยๆ ก็ไม่มีใคร ว่าเป็นใบ้ หรอกจ้ะ,1
คิดดีได้ดี แต่ถ้าคิดชั่วๆ  กรรมใครกรรมมัน,0
คุณเดียเอยป่านนี้ตายังบอดสนิทตามเดิมนะ เลยเวลาตาสว่างจริงๆ,0
อนาถจริงๆ,1
คงอยากเอาใจนายแหละ ดูออก,0
จะทำผิดผิดแบบนี้อีกกี่รอบ รู้บ้างไหมว่าแสดงถึงตัวตน,0
งานนี้อยากโชว์เพาเวอร์พิทักษ์ลูกนาย ไม่แน่งานนี้อาจมีงานงอกเรียนกฎหมายมาไม่ใช่เหรอ,0
ทนายต้องฟ้องให้เข็ดพวกมโน,0
ก่อนโจมตีเขาดูอายุพ่อเขาด้วย อายุห่างจากพ่อเธอไม่เท่าไหร่หรอก,0
หน้าแตกอีกตามเคย  ข้อมูลไม่เเน่นอย่าออกมาพูดเลย,0
อย่าปล่อยให้เหิมเกริม หมิ่นคนไม่ดูตาม้าตาเรือ ใครมีหน้าที่จัดการด้วยก็ดี,0
รู้เรื่องคนอื่นแต่ไม่รู้ใครฆ่าพ่อตัวเอง,0
พวกเขาว่างงานไม่มีอะไรทำให้มีประโยชน์แล้วหรือไงขนาดจะแซะยังมั่วซั่วผิดๆถูกๆ ไม่หาข้อมูลก่อนเลย,0
หน้าตาดีใจอย่าต่ำ ตาดู หูฟัง ระวังปาก ศึกษาศีล ธรรม ปฏิบัติ ใจจะได้สูงขึ้น ระวัง ดูแลตัวเองให้ดี พอ,0
ไม่ต้องไปว่าใครเค้าหรอก ดีชั่วเราเองรุ้อยุ่แก่ใจเราเองดี เอาเวลาของเราไปนั่งพิงจรณาตัวเองว่าเราดีหรือยัง ค่อยคิดถึงเรื่องคนอื่น,0
หัดคิดดีทำดีบ้าง อย่านึกว่าเป็นสิ่งดี,0
อย่าลืมกำพืดตัวเองนะคะ,0
น่าสงสาร,0
อายมั้ยอะ,0
ยังไม่รู้สำนึกอีกหรือครับ,0
ถ้าเขามีมันสมองคิดเขาคงจะไม่ทำตัวแบบนี้,0
มีปากก็พูดไปเรื่อยระวังเวรกรรมจะเข้าตัวเองนะ,0
เอาความเท็จมาใส่ร้ายคนอื่นส่อถึงสันดานคนพูด,0
อนาถใจจริงๆ นะมึงนี้,1
ทำดีได้ดี ทำชั่วกรรมตามสนองแน่นอน,0
คนเก่งอย่างไรก็เก่ง เข้นกันฉันใดฉันนั้น คนโกงก็หาเรื่องชวนตี  ,0
ชีวิตจริงคือนิทานเรื่องหนึ่งที่ไม่มีวันจบ แม้แต่สัตว์มันก็ยังโกหกหลอกลวงกันหลอกลองเหยื่อเลยแล้วคนมันจะต่างไรกับสัตว์,0
คนเราจิตใจต่ำตม ไม่ช้าก็คงจะตามพ่อไป ไม่ช้าก็เร็ว,1
ฟ้องร้องได้เลย,0
คนเลว ก็มีสมองเลว ไม่แปลก ช่วยกันสมเพชมันเถอะ,1
หน้าแตกมั้ย,0
กล่าวหาคนอื่นมั่วๆต้องรับผิดชอบ,0
บางทีก็สงสารนางนะ,0
สำเนียงส่อภาษา กิริยาส่อสกุล,0
ไม่ชั่วทำไม่ได้นะ,0
กระทำกรรมสำเร็จเรียบร้อย ดูผลของการกระทำกรรมต่อไป,0
สะใจมากๆเลยอ่ะข่ะ หน้าแหกยับเยิน ,0
ได้เลือดความชั่วๆเลวๆจากพ่อมาทั้งตัวเลย,1
น่ารักเสมอ,0
ประเทศถ้าไม่มีประชาชนมันอยู่ไม่ได้นะ ประชาชนส่วนใหญ่ของประเทศ ทำงานเสียภาษีให้รัฐ รัฐเอาเงินภาษีไปพัฒนาประเทศ ,0
เปรตโดนน้ำร้อน,1
หน้าด้านมากๆ กล่าวหาว่าคนอื่นเลวมาก,1
เก่งเรื่องใส่ร้ายคนอื่นไม่มองตัวเองเลยน่าสมเพส,1
หน้าก็สวยแต่โง่ไปหน่อย,1
ฉลาดน้อย ,1
คนเหยียบศพพ่อเข้ามาเล่นการเมือง คงไม่เรียกว่าคน,1
อยู่บ้านทุกวัน แต่ยังไม่ได้ฉีดสักเข็มเลย,0
ถ้าเหล้าไม่หมดเก็บไปกินต่อที่ห้องจะเป็นไรไป,0
จะแซะอะไรก็รู้จักใช้สติและปัญญาบ้างนะคะ,0
คนสองหน้าสองพรรคสองพวกคบไม่ได้,1
สวยใส สมองตืันชิบ!,1
พ่อมันถ้าฉลาดมันก็คงไม่ตายแบบอนาถแบบนั้น ลูกฉลาดหรือไม่คิดเอาเอง.,1
โง่แล้วยังอวดฉลาด น่าสมเพชจริงๆ,1
ขี้ข้าโจรยันเงา,1
พ่อตายยังไม่รู้เลยใครลงมือ,0
ฟ้องไปเลย,0
สมน้ำหน้า มีสมองไว้คั่นหูของจริง,0
มาจากอดีตใช่มั้ย,0
หวังจะมาแซะเอาใจนาย,0
เอาสมองส่วนใหนคิด,0
เลว,1
ถ้ารู้น้อยก็พยายามเงียบเสียนะ,0
จัดกรงให้มันซะ,0
อเมริกาเค้าก็ทำแบบนี้เหมือนกัน,0
ฟ้องเลยค่ะ เอาให้เจ็บ,0
เข้าที่ผิดชีวิตเปลี่ยนไม่หาข้อมูลก่อนพูดชีวิตพัง,0
น่าสมเพชเวทนาคนหิวแสง,1
ไม่น่าย้ายค่ายเลย ไม่มีข้อมูลดีๆ เสพแต่เฟคนิวส์เลยกลวงขึ้นทุกวันๆ,0
จะเชิดชูนาย ลูกสาวนายกฟ้องเลย,0
คนชั่วก็คงคิดได้แต่เรื่องชั่วๆ,0
ปากพาจนกำลังคืบคลานเข้ามาใกล้แล้วตกงานแน่ๆ,0
อย่าไปให้ราคากับคนแบบนี้,1
สักแต่พูดแต่ไม่ค้นหาความจริง,0
คนไม่มีสมองคิดเป็นอย่างเดียวไม่อยากพูดอะไรคนแบบนี้มันต้องเอาสมองหมาปัญญาควายชอบของนี้กินไม่หมดนะครับก็เอากลับบ้าน,1
สมัยนี้น่ะจร้าไม่ใช่สมัยก่อนจะได้ไม่ค่อยได้รับรู้อะไรสมัยนี้เข้าถึงโชเชียลเกือบทุกคนแล้วน่ะอย่าลืมสิ,1
ช่องสลิ่มนี้สุดยอดฝีปากในการโจมตีผู้เห็นต่างไอ้ตัวผู้ตัวนี้ได้น้ำเชื้อเหี้ยมาเกิดแน่,1
มันช่างไม่อายจริงๆขี้ข้า,1
คนจะเชื้อดีกตัญญูหรือจะเชื้อคนอกตัญญูทั้งผู้ให้บังเกิดเกล้าและแผ่นดินเกิด,0
ลูกนายกไม่เคยไปยุ่งกับพวกมันเลยโดยเฉพาะเรื่องการเมืองเสือกไม่เข้าท่าน่าไม่อาย,0
หัวมีใว้บ่นบ่าแค่นั้นเอง,0
สงสัยอยากไปอยู่กับพ่อ,0
เชื้อไม่ทิ้งแถว,0
เห็นเงียบไปเสียนานกลับมาก็โง่ก่าวเดิมอีก,1
ไม่เจียมตัวน่าอาย,1
อิวัวไร้จุดยืน,1
พวกนี้มันเหมือนกันหมดเก่งแต่เรื่องโกหก,0
หิวแสง,1
3 กีบชอบพูดเอง ข้อมูลเยอะแยะ แต่ไม่ดู,1
หมดคำพูด,0
